n_estimators,contamination,accuracy,precision,recall,f1_score
300,0.05,0.9940298507462687,0.9850746268656716,0.9041095890410958,0.9428571428571428
200,0.05,0.9940298507462687,0.9850746268656716,0.9041095890410958,0.9428571428571428
50,0.05,0.9880597014925373,0.9253731343283582,0.8493150684931506,0.8857142857142857
100,0.05,0.9880597014925373,0.9253731343283582,0.8493150684931506,0.8857142857142857
200,0.03,0.9761194029850746,1.0,0.5616438356164384,0.7192982456140351
300,0.03,0.9761194029850746,1.0,0.5616438356164384,0.7192982456140351
100,0.03,0.9761194029850746,1.0,0.5616438356164384,0.7192982456140351
50,0.03,0.9761194029850746,1.0,0.5616438356164384,0.7192982456140351
300,0.1,0.9529850746268657,0.5373134328358209,0.9863013698630136,0.6956521739130435
200,0.1,0.9529850746268657,0.5373134328358209,0.9863013698630136,0.6956521739130435
100,0.1,0.9529850746268657,0.5373134328358209,0.9863013698630136,0.6956521739130435
50,0.1,0.9514925373134329,0.5298507462686567,0.9726027397260274,0.6859903381642513
100,0.01,0.9559701492537314,1.0,0.1917808219178082,0.3218390804597701
50,0.01,0.9559701492537314,1.0,0.1917808219178082,0.3218390804597701
200,0.01,0.9559701492537314,1.0,0.1917808219178082,0.3218390804597701
300,0.01,0.9559701492537314,1.0,0.1917808219178082,0.3218390804597701
